2020-11-10	1737.72		49.16
2020-09-30	1465.60	$35.35	41.46
2020-06-30	1418.05	$45.47	31.19
2020-03-31	1161.95	$49.55	23.45
2019-12-31	1339.39	$49.18	27.23
2019-09-30	1221.14	$46.60	26.20
2019-06-30	1082.80	$49.54	21.86
2019-03-31	1176.89	$39.87	29.52
2018-12-31	1044.96	$43.70	23.91
2018-09-30	1207.08	$26.58	45.41
2018-06-30	1129.19	$23.09	48.90
2018-03-31	1037.14	$23.56	44.02
2017-12-31	1053.40	$17.96	58.65
2017-09-30	973.72	$29.87	32.60
2017-06-30	929.68	$27.55	33.75
2017-03-31	847.80	$29.54	28.70
2016-12-31	792.45	$27.83	28.47
2016-09-30	804.06	$27.33	29.42
2016-06-30	703.53	$25.81	27.26
2016-03-31	762.90	$23.74	32.14
2015-12-31	778.01	$22.92	33.94
2015-09-30	637.20	$22.77	27.98
2015-06-30	540.04	$21.13	25.56
2015-03-31	554.70	$21.19	26.18
2014-12-31	530.66	$21.03	25.23
2014-09-30	588.41	$19.07	30.86
2014-06-30	584.67	$19.36	30.21
2014-03-31	558.98	$19.14	29.21
2013-12-31	562.09	$19.07	29.48
2013-09-30	439.31	$18.43	23.84
2013-06-30	441.55	$17.32	25.50
2013-03-31	398.32	$16.76	23.77
2012-12-31	354.79	$16.16	21.95
2012-09-30	378.42	$15.96	23.71
2012-06-30	290.93	$16.86	17.26
2012-03-31	321.61	$16.49	19.50
2011-12-31	323.95	$15.64	20.72
2011-09-30	258.32	$15.44	16.74
2011-06-30	253.97	$14.63	17.36
2011-03-31	294.29	$13.65	21.56
2010-12-31	297.90	$13.16	22.64
2010-09-30	263.71	$12.32	21.40
2010-06-30	223.16	$11.53	19.36
2010-03-31	284.44	$11.00	25.86
2009-12-31	310.95	$10.22	30.44
2009-09-30	248.69	$7.75	32.09
2009-06-30	211.45	$7.30	28.97
2009-03-31	174.57	$6.93	25.19
2008-12-31	154.30	$6.75	22.88
2008-09-30	200.88	$8.04	25.00
2008-06-30	264.03	$7.61	34.72
2008-03-31	220.92	$7.11	31.07
2007-12-31	346.81	$6.64	52.23
2007-09-30	284.51	$6.39	44.52
2007-06-30	262.16	$5.88	44.58
2007-03-31	229.79	$5.58	41.18
2006-12-31	230.95	$4.97	46.52
